Title,Brand,Rating,Reviews,Price,Image URL,Product URL
"Webby Soft Animal Plush Elephant Toy 20cm, Blue & Grey",Webby,4.4,5898,225,https://m.media-amazon.com/images/I/711DBUR31bS._AC_UL320_.jpg,https://www.amazon.in/dp/B08QX75XNZ
Webby Plush Standing Giraffe Soft Toys for Kids 30 CM (Yellow),Webby,4.3,370,329,https://m.media-amazon.com/images/I/71e75GSCrKL._AC_UL320_.jpg,https://www.amazon.in/dp/B0CZTVNF73
Storio Toy Super Cute Plushie Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls Kids - Husky Dog | Best Valentine Gift,Storio,4.2,1680,379,https://m.media-amazon.com/images/I/61H9EfdAcyL._AC_UL320_.jpg,https://www.amazon.in/dp/B0CQG69GBY
"Storio Soft Animal Plush Elephant Toy 20cm, Grey and Blue",Storio,4.2,1679,199,https://m.media-amazon.com/images/I/617Qg3fOvQL._AC_UL320_.jpg,https://www.amazon.in/dp/B0CDM2RXDS
Babique Cow Tremp Plush Soft Toy Cute Kids Animal Home Decor Boys/Girls (Pack of 1)(30 cm),Babique,4.3,629,319,https://m.media-amazon.com/images/I/71haBHpt8wL._AC_UL320_.jpg,https://www.amazon.in/dp/B0BFNNS31H
Richy Toys White Dog Cute Plush Soft Toys for Kids Birthday Gift 26 cm,Richy,4.0,4610,177,https://m.media-amazon.com/images/I/61F+bzs8OKL._AC_UL320_.jpg,https://www.amazon.in/dp/B06XH26KJ4
SCOOBA Super Soft Korean Quality Frock Dress Rabbit 35cm Pack of 1,SCOOBA,3.5,57,399,https://m.media-amazon.com/images/I/51pu0-snHbL._AC_UL320_.jpg,https://www.amazon.in/dp/B0BW619D7K
Storio Toy Cute Rainbow Colored Huggable Teddy Bear | 30 cm | Plushie Soft Toys for Kids | Plush Soft Toys for Baby Boys and Girls Kids - Teddy | Best Valentine Gift,Storio,4.2,1679,329,https://m.media-amazon.com/images/I/61paoQad7gL._AC_UL320_.jpg,https://www.amazon.in/dp/B0CQG8TQYS
SCOOBA Soft Cute Bella Doll 50cm - Polyfill Washable Cuddly Soft Plush Toy - Helps to Learn Role Play - 100% Safe for Kids,SCOOBA,3.9,199,569,https://m.media-amazon.com/images/I/61kx5wblTfL._AC_UL320_.jpg,https://www.amazon.in/dp/B08VJGC9CY
Babique Cute Pink Rabbit soft Toys 26 cm (pink),Babique,4.1,839,159,https://m.media-amazon.com/images/I/513NwwpIBqL._AC_UL320_.jpg,https://www.amazon.in/dp/B01FC8RSAE
"Amazon Brand - Jam & Honey Teddy Bear, Cute, Soft Toy (33 Cm, Pink), Great Birthday Gift",Amazon,4.4,13332,335,https://m.media-amazon.com/images/I/81A+9JEi5zL._AC_UL320_.jpg,https://www.amazon.in/dp/B083F3FC31
